Gen	Best	Mean	Err
142	5.15479	5.15479	2.92002e-07
143	5.15479	5.15479	2.92002e-07
144	5.15479	5.15479	2.92002e-07
145	5.15479	5.15479	2.92002e-07
146	5.05574	5.06763	0.0321883
147	5.05574	5.05574	3.57628e-07
148	5.05574	5.05574	3.57628e-07
149	5.05574	5.05574	3.57628e-07
150	5.05574	5.05574	3.57628e-07
151	5.05574	5.05574	3.57628e-07
152	5.05574	5.05574	3.57628e-07
153	5.05574	5.05574	3.57628e-07
154	5.05574	5.05574	3.57628e-07
155	5.05574	5.05574	3.57628e-07
156	5.05574	5.05574	3.57628e-07
157	5.05574	5.05574	3.57628e-07
158	5.05574	5.05574	3.57628e-07
159	5.05574	5.05574	3.57628e-07
160	5.05574	5.05574	3.57628e-07
161	5.05574	5.05574	3.57628e-07
162	5.05574	5.05574	3.57628e-07
163	5.04845	5.04875	0.00142786
164	5.04845	5.04845	2.45756e-07
165	4.90456	4.92326	0.0483932
166	4.90456	4.90456	1.57699e-07
167	4.90456	4.90456	1.57699e-07
168	4.90456	4.90456	1.57699e-07
169	4.90456	4.90456	1.57699e-07
170	4.90456	4.90456	1.57699e-07
171	4.90456	4.90456	1.57699e-07
172	4.90456	4.90456	1.57699e-07
173	4.90456	4.90456	1.57699e-07
174	4.90456	4.90456	1.57699e-07
175	4.90456	4.90456	1.57699e-07
176	4.90456	4.90456	1.57699e-07
177	4.90456	4.90456	1.57699e-07
178	4.90456	4.90456	1.57699e-07
179	4.90456	4.90456	1.57699e-07
180	4.90456	4.90456	1.57699e-07
181	4.90456	4.90456	1.57699e-07
182	4.90456	4.90456	1.57699e-07
183	4.90456	4.90456	1.57699e-07
184	4.90456	4.90456	1.57699e-07
185	4.90456	4.90456	1.57699e-07
186	4.90456	4.90456	1.57699e-07
187	4.90456	4.90456	1.57699e-07
188	4.90456	4.90456	1.57699e-07
189	4.90456	4.90456	1.57699e-07
190	4.90456	4.90456	1.57699e-07
191	4.90456	4.90456	1.57699e-07
192	4.90456	4.90456	1.57699e-07
193	4.90456	4.90456	1.57699e-07
194	4.90456	4.90456	1.57699e-07
195	4.90456	4.90456	1.57699e-07
196	4.90456	4.90456	1.57699e-07
197	4.90456	4.90456	1.57699e-07
198	4.85866	4.86508	0.0159259
199	4.85866	4.85866	3.03925e-07
200	4.85866	4.85866	3.03925e-07
201	4.85866	4.85866	3.03925e-07
202	4.85866	4.85866	3.03925e-07
203	4.85866	4.85866	3.03925e-07
204	4.85866	4.85866	3.03925e-07
205	4.85866	4.85866	3.03925e-07
206	4.85866	4.85866	3.03925e-07
207	4.853	4.853	2.98023e-07
208	4.853	4.853	2.98023e-07
