#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.994062	0.994062	0
2	0.999994	0.997028	0.00209728
3	0.999998	0.998018	0.00161503
4	0.999664	0.998429	0.00126261
5	0.984004	0.995544	0.00277116
6	0.999988	0.996285	0.00240623
7	0.995698	0.996201	0.00206394
8	0.264654	0.904758	0.0855565
9	-0.999996	0.693118	0.213537
10	-0.997862	0.52402	0.250338
11	-0.999998	0.385473	0.263141
12	-0.999988	0.270018	0.265334
13	-0.999144	0.17239	0.262271
14	-1	0.0886481	0.256558
15	-0.999916	0.0160772	0.249507
16	-0.999984	-0.0474266	0.241859
17	-0.999992	-0.10346	0.234033
18	-0.999948	-0.153265	0.226269
19	-0.993138	-0.197469	0.218635
20	-0.998434	-0.237517	0.211339
21	-0.999044	-0.27378	0.204363
22	-0.999986	-0.306789	0.197722
23	-0.999996	-0.336929	0.191409
24	-0.999978	-0.364556	0.185416
25	-0.999998	-0.389974	0.179733
26	-1	-0.413436	0.174345
27	-0.354414	-0.41125	0.167902
28	0.99987	-0.360853	0.1693
29	0.999998	-0.313927	0.169841
30	1	-0.27013	0.169733
31	0.999812	-0.229164	0.169129
32	1	-0.190752	0.168149
33	1	-0.154669	0.16688
34	0.999806	-0.120714	0.16539
35	0.99999	-0.0886937	0.163735
36	0.999996	-0.0584523	0.161956
37	0.999988	-0.0298458	0.160085
38	0.999964	-0.00274553	0.158149
39	0.998366	0.022924	0.156164
40	0.999992	0.0473507	0.154158
41	1	0.070586	0.152139
42	0.999416	0.092701	0.150115
43	0.989218	0.11355	0.148065
44	0.999996	0.133697	0.146064
45	0.999234	0.152931	0.144079
46	0.999988	0.171345	0.142119
47	0.999952	0.188975	0.140184
48	-0.102298	0.182907	0.137395
49	-0.999994	0.158766	0.136695
50	-1	0.135591	0.135912
51	-0.999202	0.11334	0.135056
52	-0.996222	0.0920022	0.134134
53	-1	0.0713984	0.133176
54	-1	0.0515577	0.13218
55	-1	0.0324385	0.131152
56	-0.999964	0.0140027	0.130099
57	-1	-0.00378681	0.129027
58	-1	-0.0209629	0.127941
59	-0.999944	-0.0375558	0.126844
60	-0.999172	-0.0535827	0.125738
61	-0.99999	-0.0690976	0.12463
62	-0.999974	-0.0841117	0.123521
63	-0.999994	-0.0986496	0.122413
64	-0.998002	-0.112702	0.121304
65	-0.999998	-0.126353	0.120204
66	-1	-0.13959	0.119109
67	-0.999992	-0.152432	0.118021
68	-1	-0.164896	0.116942
69	-0.99993	-0.176998	0.115872
70	-0.377014	-0.179855	0.114252
71	0.999994	-0.163238	0.113845
72	0.999956	-0.147082	0.113404
73	1	-0.131369	0.112934
74	0.975462	-0.116411	0.112394
75	1	-0.101526	0.111877
76	0.999978	-0.0870325	0.111339
77	0.999994	-0.0729152	0.110785
78	1	-0.0591599	0.110215
79	0.999778	-0.0457556	0.109632
80	0.999958	-0.0326842	0.109038
81	1	-0.019935	0.108435
82	1	-0.0074968	0.107823
83	1	0.00464171	0.107205
84	0.987878	0.0163469	0.106566
85	0.999998	0.0279193	0.105939
86	0.999984	0.0392223	0.105308
87	0.999862	0.0502642	0.104675
88	0.999996	0.0610566	0.104041
89	1	0.0716065	0.103405
90	0.99996	0.0819216	0.102769
91	0.999974	0.09201	0.102134
92	0.999932	0.101879	0.1015
93	0.73675	0.108705	0.100638
94	-0.999944	0.0969112	0.100256
95	-1	0.0853648	0.099863
96	-0.999992	0.074059	0.0994607
97	-1	0.0629862	0.0990497
98	-0.99998	0.0521396	0.0986311
99	-1	0.0415119	0.0982058
100	-1	0.0310968	0.0977744
