#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.0178631	0.0178631	0
2	0.000170667	0.00901689	0.00625522
3	8.53333e-05	0.0060397	0.00482693
4	0.00238933	0.00512711	0.00370546
5	0.0287573	0.00985316	0.00516293
6	0.000341333	0.00826785	0.00453931
7	0.014592	0.0091713	0.00397973
8	0.013824	0.00975289	0.0035245
9	0.000170667	0.0086882	0.00328978
10	0.008192	0.00863858	0.00296117
11	8.53333e-05	0.00786101	0.0027922
12	0.000426667	0.00724148	0.00262735
13	0.00512	0.00707829	0.00243031
14	0	0.0065727	0.0023087
15	0.00110933	0.00620847	0.00218333
16	0.000512	0.00585244	0.0020757
17	0.000256	0.00552324	0.00197953
18	0.000853333	0.0052638	0.00188648
19	0.0239787	0.0062488	0.00202811
20	0.00682667	0.00627769	0.00192691
21	0.00674133	0.00629977	0.00183528
22	0.000256	0.00602505	0.00177229
23	0.000170667	0.00577051	0.00171342
24	0.000426667	0.00554785	0.00165643
25	8.53333e-05	0.00532935	0.00160452
26	0	0.00512438	0.00155585
27	0.00477867	0.00511157	0.00149827
28	0.00128	0.00497473	0.001451
29	8.53333e-05	0.00480613	0.00141073
30	0	0.00464593	0.00137277
31	0.001536	0.00454561	0.00133215
32	0	0.00440356	0.00129807
33	0	0.00427011	0.00126557
34	0.00221867	0.00420978	0.00122979
35	0.000170667	0.00409437	0.00120005
36	0.000170667	0.00398538	0.00117166
37	0.000256	0.00388459	0.00114432
38	0.000512	0.00379584	0.00111764
39	0.007168	0.0038823	0.00109232
40	0.000256	0.00379164	0.00106877
41	0	0.00369917	0.0010467
42	0.004096	0.00370861	0.00102182
43	0.022528	0.00414627	0.00108775
44	8.53333e-05	0.00405398	0.00106694
45	0.00324267	0.00403595	0.00104338
46	0.000426667	0.00395749	0.00102365
47	0.000682667	0.00388781	0.00100423
48	0.023808	0.00430281	0.00106562
49	0.000256	0.00422023	0.00104707
50	0	0.00413582	0.00102952
51	0.00443733	0.00414173	0.00100935
52	0.0103253	0.00426065	0.000996923
53	0	0.00418026	0.000981349
54	0	0.00410285	0.000966224
55	0	0.00402825	0.000951531
56	0.000597333	0.00396698	0.00093651
57	0	0.00389739	0.000922662
58	0	0.00383019	0.000909198
59	0.000938667	0.00378118	0.000895108
60	0.005376	0.00380776	0.000880584
61	0.000170667	0.00374814	0.000868164
62	0.000512	0.00369594	0.000855729
63	0.000170667	0.00363999	0.000843974
64	0.00768	0.00370311	0.000833144
65	8.53333e-05	0.00364745	0.000822184
66	0	0.00359219	0.000811582
67	0.000170667	0.00354112	0.000801073
68	0	0.00348905	0.000790984
69	0.00119467	0.00345579	0.000780219
70	0.0116053	0.00357222	0.00077771
71	0.000170667	0.00352431	0.000768231
72	0.000597333	0.00348365	0.000758636
73	0	0.00343593	0.000749743
74	0.04352	0.00397761	0.000914589
75	0	0.00392457	0.000903931
76	0.000426667	0.00387855	0.000893208
77	0.000170667	0.0038304	0.000882905
78	0	0.00378129	0.000872951
79	0.002048	0.00375935	0.000862176
80	0.000682667	0.00372089	0.000852256
81	0	0.00367495	0.000842972
82	0	0.00363014	0.000833882
83	0	0.0035864	0.000824982
84	0.020736	0.00379056	0.000840043
85	8.53333e-05	0.00374697	0.00083129
86	0.000256	0.00370638	0.000822615
87	0.00128	0.00367849	0.000813632
88	8.53333e-05	0.00363766	0.00080541
89	0	0.00359678	0.000797397
90	0.000682667	0.0035644	0.000789194
91	0.000682667	0.00353274	0.000781157
92	0.000768	0.00350269	0.000773244
93	0.019968	0.00367973	0.000784936
94	0.000768	0.00364876	0.000777197
95	0	0.00361035	0.000769964
96	0.000256	0.00357541	0.000762736
97	0	0.00353855	0.000755763
98	0.000341333	0.00350592	0.000748755
99	0	0.00347051	0.000742029
100	0	0.0034358	0.00073542
