N_BLOCK:	ACCEPTANCE:
1	0.496417
2	0.496678
3	0.49696
4	0.496675
5	0.496839
6	0.496694
7	0.496872
8	0.496698
9	0.496698
10	0.496806
11	0.496546
12	0.496813
13	0.496756
14	0.496835
15	0.4969
16	0.496837
17	0.496853
18	0.49682
19	0.496866
20	0.496917
