#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	-0.961038	-0.961038	0
2	-1	-0.980519	0.0137751
3	-1	-0.987013	0.0106041
4	-1	-0.99026	0.00843552
5	-1	-0.992208	0.00696973
6	-1	-0.993506	0.00592788
7	-1	-0.994434	0.00515311
8	-1	-0.99513	0.0045557
9	-1	-0.995671	0.00408153
10	-1	-0.996104	0.00369626
11	-1	-0.996458	0.00337716
12	-1	-0.996753	0.00310861
13	-1	-0.997003	0.0028795
14	-1	-0.997217	0.00268177
15	-1	-0.997403	0.00250939
16	-1	-0.997565	0.0023578
17	-1	-0.997708	0.00222345
18	-1	-0.997835	0.00210357
19	-1	-0.997949	0.00199594
20	-1	-0.998052	0.00189877
21	-1	-0.998145	0.00181062
22	-1	-0.998229	0.00173028
23	-1	-0.998306	0.00165676
24	-1	-0.998377	0.00158924
25	-1	-0.998442	0.00152699
26	-1	-0.998501	0.00146944
27	-1	-0.998557	0.00141606
28	-1	-0.998609	0.00136643
29	-1	-0.998656	0.00132015
30	-1	-0.998701	0.0012769
31	-1	-0.998743	0.0012364
32	-1	-0.998782	0.00119839
33	-1	-0.998819	0.00116264
34	-1	-0.998854	0.00112896
35	-1	-0.998887	0.00109718
36	-1	-0.998918	0.00106714
37	-1	-0.998947	0.0010387
38	-1	-0.998975	0.00101173
39	-1	-0.999001	0.000986134
40	-1	-0.999026	0.000961797
41	-1	-0.99905	0.000938632
42	-1	-0.999072	0.000916556
43	-1	-0.999094	0.000895495
44	-1	-0.999115	0.00087538
45	-1	-0.999134	0.000856148
46	-1	-0.999153	0.000837743
47	-1	-0.999171	0.000820112
48	-1	-0.999188	0.000803209
49	-1	-0.999205	0.000786987
50	-1	-0.999221	0.000771408
51	-1	-0.999236	0.000756434
52	-1	-0.999251	0.00074203
53	-1	-0.999265	0.000728164
54	-1	-0.999278	0.000714807
55	-1	-0.999292	0.00070193
56	-1	-0.999304	0.00068951
57	-1	-0.999316	0.000677521
58	-1	-0.999328	0.000665942
59	-1	-0.99934	0.000654753
60	-1	-0.999351	0.000643933
61	-1	-0.999361	0.000633464
62	-1	-0.999372	0.000623331
63	-1	-0.999382	0.000613517
64	-1	-0.999391	0.000604006
65	-1	-0.999401	0.000594787
66	-1	-0.99941	0.000585844
67	-1	-0.999418	0.000577166
68	-1	-0.999427	0.000568742
69	-1	-0.999435	0.00056056
70	-1	-0.999443	0.00055261
71	-1	-0.999451	0.000544882
72	-1	-0.999459	0.000537368
73	-1	-0.999466	0.000530058
74	-1	-0.999473	0.000522944
75	-1	-0.999481	0.000516018
76	-1	-0.999487	0.000509274
77	-1	-0.999494	0.000502704
78	-1	-0.9995	0.0004963
79	-1	-0.999507	0.000490058
80	-1	-0.999513	0.000483972
81	-1	-0.999519	0.000478034
82	-1	-0.999525	0.00047224
83	-1	-0.999531	0.000466585
84	-1	-0.999536	0.000461064
85	-1	-0.999542	0.000455672
86	-1	-0.999547	0.000450405
87	-1	-0.999552	0.000445258
88	-1	-0.999557	0.000440227
89	-1	-0.999562	0.000435309
90	-1	-0.999567	0.000430499
91	-1	-0.999572	0.000425795
92	-1	-0.999576	0.000421192
93	-1	-0.999581	0.000416688
94	-1	-0.999586	0.000412279
95	-1	-0.99959	0.000407962
96	-1	-0.999594	0.000403735
97	-1	-0.999598	0.000399594
98	-1	-0.999602	0.000395538
99	-1	-0.999606	0.000391563
100	-1	-0.99961	0.000387667
