BLOCK	ACTUAL_P	P_AVE	ERROR
178	1.52633	1.5066	0.0100638
179	1.4252	1.50615	0.0100179
180	1.41792	1.50566	0.00997422
181	1.5954	1.50615	0.00993143
182	1.41474	1.50565	0.00988956
183	1.34994	1.5048	0.00987205
184	1.53732	1.50498	0.00981998
185	1.67405	1.50589	0.00980934
186	1.6017	1.5064	0.00977011
187	1.47384	1.50623	0.00971942
188	1.32565	1.50527	0.00971507
189	1.65243	1.50605	0.00969482
190	1.57343	1.5064	0.00965028
191	1.31665	1.50541	0.00965075
192	1.46383	1.50519	0.00960292
193	1.50769	1.50521	0.00955317
194	1.28354	1.50406	0.00957201
195	1.50705	1.50408	0.00952294
196	1.26322	1.50285	0.00955331
197	1.65911	1.50364	0.00953769
198	1.40669	1.50315	0.00950208
199	1.42959	1.50278	0.00946152
200	1.32402	1.50189	0.00945634
201	1.50704	1.50192	0.00940933
202	1.37144	1.50127	0.00938489
203	1.68461	1.50217	0.00938202
204	1.45034	1.50192	0.00933946
205	1.43622	1.5016	0.0092994
206	1.71613	1.50264	0.00931239
207	1.45399	1.5024	0.00927037
208	1.37295	1.50178	0.00924667
209	1.56593	1.50209	0.00920752
210	1.30823	1.50117	0.00920983
211	1.67487	1.50199	0.0092029
212	1.532	1.50213	0.00916058
213	1.32594	1.5013	0.00915485
214	1.55373	1.50155	0.00911534
215	1.85148	1.50318	0.00921711
216	1.5596	1.50344	0.00917814
217	1.55292	1.50367	0.00913867
218	1.54343	1.50385	0.00909857
219	1.55638	1.50409	0.00906019
220	1.34738	1.50338	0.00904696
221	1.46333	1.50319	0.00900784
222	1.57079	1.5035	0.00897241
223	1.76154	1.50466	0.00900648
224	1.34107	1.50393	0.00899584
225	1.49016	1.50386	0.00895606
226	1.34849	1.50318	0.00894278
227	1.3676	1.50258	0.00892331
228	1.66914	1.50331	0.00891403
229	1.50003	1.5033	0.00887511
230	1.51249	1.50334	0.00883662
231	1.48736	1.50327	0.00879863
232	1.55803	1.5035	0.00876387
233	1.27423	1.50252	0.00878133
234	1.36317	1.50192	0.00876397
235	1.53868	1.50208	0.00872807
236	1.53624	1.50222	0.00869229
237	1.25047	1.50116	0.00872028
238	1.46168	1.501	0.00868521
239	1.64802	1.50161	0.00867063
240	1.56251	1.50186	0.00863822
241	1.46318	1.5017	0.00860386
242	1.7604	1.50277	0.00863447
243	1.41379	1.50241	0.00860669
244	1.26782	1.50145	0.00862495
245	1.4591	1.50127	0.00859148
246	1.65018	1.50188	0.00857785
247	1.61665	1.50234	0.0085557
248	1.65372	1.50295	0.00854295
249	1.34418	1.50232	0.0085324
250	1.51572	1.50237	0.00849844
251	1.53277	1.50249	0.00846545
252	1.3395	1.50184	0.00845653
253	1.49232	1.50181	0.00842318
254	1.60198	1.5022	0.00839925
255	1.61392	1.50264	0.00837773
256	1.51668	1.50269	0.00834518
257	1.69685	1.50345	0.00834684
258	1.60335	1.50384	0.00832347
259	1.67122	1.50448	0.00831638
