Blocchi	Price	Error
1	4.63344	0
2	5.5889	0.955469
3	5.53827	0.553959
4	5.82771	0.487042
5	5.92818	0.390409
6	5.74028	0.370021
7	5.66447	0.321783
8	5.84056	0.329641
9	5.65985	0.342302
10	5.56219	0.321364
11	5.61935	0.296253
12	5.72776	0.291358
13	5.70298	0.269153
14	5.67719	0.250519
15	5.7402	0.241584
16	5.75939	0.226794
17	5.80522	0.21791
18	5.70989	0.226489
19	5.71163	0.214244
20	5.74712	0.206324
21	5.73053	0.196953
22	5.72396	0.187902
23	5.67451	0.186232
24	5.65752	0.179111
25	5.66512	0.171966
26	5.6644	0.165221
27	5.66312	0.158989
28	5.67186	0.153455
29	5.70377	0.151469
30	5.66416	0.151598
31	5.71442	0.154999
32	5.72582	0.150509
33	5.73285	0.146047
34	5.74153	0.141952
35	5.73254	0.138129
36	5.71277	0.135686
37	5.74876	0.136787
38	5.71068	0.138476
39	5.7187	0.135116
40	5.68934	0.134929
41	5.69385	0.131675
42	5.66554	0.131582
43	5.65728	0.12875
44	5.6536	0.125844
45	5.64612	0.123243
46	5.6221	0.122904
47	5.60715	0.121186
48	5.59866	0.118938
49	5.59402	0.116578
50	5.59415	0.114222
51	5.60112	0.112177
52	5.62755	0.113131
53	5.61878	0.111322
54	5.65171	0.114096
55	5.63397	0.113398
56	5.62032	0.112188
57	5.58233	0.116566
58	5.59014	0.114804
59	5.60255	0.113522
60	5.62846	0.114581
61	5.61943	0.113048
62	5.61808	0.111218
63	5.60784	0.109916
64	5.61561	0.108464
65	5.61001	0.10693
66	5.58442	0.108361
67	5.58168	0.106767
68	5.58143	0.105185
69	5.57647	0.103768
70	5.59642	0.104203
71	5.5917	0.102833
72	5.57502	0.102758
73	5.57746	0.10137
74	5.58152	0.100073
75	5.58451	0.098775
76	5.61992	0.103699
77	5.61598	0.102419
78	5.61565	0.101098
79	5.61867	0.0998562
80	5.6101	0.0989715
81	5.59639	0.0987001
82	5.60881	0.0982778
83	5.61531	0.0973039
84	5.62278	0.0964285
85	5.62018	0.0953229
86	5.62337	0.0942619
87	5.62554	0.0931973
88	5.62719	0.0921469
89	5.61208	0.092349
90	5.60997	0.0913417
91	5.60664	0.0903937
92	5.60231	0.0895103
93	5.60397	0.0885581
94	5.61458	0.0882508
95	5.62082	0.0875398
96	5.62554	0.0867519
97	5.63996	0.087054
98	5.64469	0.0862912
99	5.6603	0.0868301
100	5.65674	0.0860314
101	5.64489	0.0859944
102	5.64952	0.0852727
103	5.65527	0.0846364
104	5.65644	0.0838267
105	5.65606	0.0830254
106	5.637	0.0844182
107	5.63458	0.0836603
108	5.64737	0.0838625
109	5.64075	0.0833528
110	5.64937	0.0830398
111	5.65452	0.0824498
112	5.64991	0.0818402
113	5.65496	0.0812693
114	5.6567	0.0805721
115	5.64874	0.0802643
116	5.64875	0.0795694
117	5.64804	0.0788897
118	5.64146	0.0784942
119	5.64134	0.0778319
120	5.63597	0.0773672
121	5.65679	0.0794993
122	5.66599	0.0793803
123	5.66967	0.0788179
124	5.66951	0.0781799
125	5.66942	0.077552
126	5.65948	0.0775728
127	5.64442	0.0784199
128	5.64633	0.0778282
129	5.65839	0.0781592
130	5.65002	0.0780061
131	5.64497	0.0775727
132	5.63977	0.0771588
133	5.62654	0.07771
134	5.63052	0.0772305
135	5.62698	0.0767379
136	5.62343	0.0762545
137	5.6157	0.0760888
138	5.62478	0.0760793
139	5.63385	0.0760717
140	5.63512	0.0755371
141	5.64317	0.0754297
142	5.63902	0.075011
143	5.65069	0.0753927
144	5.65118	0.0748689
145	5.64319	0.0747792
146	5.64495	0.0742862
147	5.63857	0.0740551
148	5.63344	0.0737314
149	5.63779	0.0733638
150	5.62871	0.0734363
151	5.63714	0.0734338
152	5.63631	0.0729538
153	5.63683	0.0724773
154	5.62989	0.0723393
155	5.62664	0.0719443
156	5.62624	0.0714827
157	5.6248	0.0710407
158	5.62732	0.0706349
159	5.63912	0.071174
160	5.64451	0.0709329
161	5.64394	0.0704933
162	5.64219	0.0700786
163	5.64762	0.0698585
164	5.64623	0.0694452
165	5.64193	0.069157
166	5.64418	0.0687759
167	5.63689	0.0687496
168	5.6446	0.0687721
169	5.65415	0.0690276
170	5.64601	0.0691013
171	5.63832	0.0691252
172	5.63653	0.0687454
173	5.63613	0.068348
174	5.62867	0.0683617
175	5.63301	0.068108
176	5.63858	0.0679485
177	5.63369	0.0677399
178	5.6477	0.0688002
179	5.64549	0.0684507
180	5.64491	0.0680717
181	5.63747	0.0681027
182	5.62974	0.0681674
183	5.62948	0.0677944
184	5.62845	0.0674329
185	5.6371	0.0676238
186	5.63869	0.067278
187	5.6359	0.0669753
188	5.64625	0.0674174
189	5.6467	0.0670612
190	5.65068	0.0668262
191	5.64843	0.0665136
192	5.64502	0.0662541
193	5.64396	0.0659184
194	5.64186	0.0656112
195	5.64078	0.0652829
196	5.6402	0.0649515
197	5.63614	0.0647482
198	5.63505	0.0644296
199	5.63903	0.0642284
200	5.6368	0.0639456
201	5.64357	0.0639865
202	5.64298	0.0636716
203	5.63998	0.0634283
204	5.64161	0.0631375
205	5.64695	0.0630556
206	5.65095	0.0628759
207	5.65753	0.0629167
208	5.65743	0.0626136
209	5.65946	0.0623463
210	5.66058	0.0620588
211	5.66166	0.0617735
212	5.66014	0.0615003
213	5.6668	0.0615728
214	5.6656	0.0612964
215	5.66993	0.061164
216	5.67478	0.0610734
217	5.67029	0.0609569
218	5.66569	0.0608508
219	5.66772	0.0606063
220	5.65958	0.0608768
221	5.65323	0.0609325
222	5.64975	0.0607574
223	5.65103	0.0604979
224	5.65436	0.0603195
225	5.66202	0.060537
226	5.65835	0.0603805
227	5.65866	0.0601147
228	5.66033	0.059874
229	5.66002	0.0596128
230	5.65837	0.059376
231	5.65515	0.0592059
232	5.66209	0.0593571
233	5.66787	0.0593833
234	5.66593	0.0591609
235	5.66794	0.0589431
236	5.67008	0.0587318
237	5.66847	0.0585057
238	5.67615	0.0587638
239	5.67775	0.0585391
240	5.67481	0.0583684
241	5.6724	0.0581759
242	5.66562	0.05833
243	5.66608	0.0580913
244	5.66495	0.0578639
245	5.66572	0.0576324
246	5.65509	0.058374
247	5.65454	0.0581398
248	5.65091	0.0580185
249	5.65209	0.0577972
250	5.65669	0.0577489
251	5.65221	0.0576929
252	5.65552	0.0575589
253	5.65845	0.057406
254	5.65951	0.0571892
255	5.65456	0.0571783
256	5.65489	0.0569555
257	5.65443	0.0567353
258	5.65149	0.0565913
259	5.65056	0.05638
260	5.64761	0.0562402
261	5.64385	0.05615
262	5.64789	0.0560805
263	5.64653	0.0558833
264	5.64727	0.0556761
265	5.64452	0.0555341
266	5.64997	0.0555929
267	5.64676	0.0554771
268	5.65027	0.0553811
269	5.6488	0.0551944
270	5.64565	0.0550796
271	5.64931	0.0549974
272	5.65627	0.0552356
273	5.65787	0.0550562
274	5.6559	0.0548904
275	5.65363	0.0547374
276	5.65195	0.0545646
277	5.65072	0.0543812
278	5.64518	0.0544677
279	5.64742	0.0543183
280	5.64739	0.054124
281	5.65	0.0539941
282	5.64848	0.0538239
283	5.64833	0.0536335
284	5.64711	0.0534583
285	5.6458	0.0532865
286	5.64789	0.0531406
287	5.64427	0.0530782
288	5.64327	0.052903
289	5.6452	0.0527549
290	5.64158	0.0526971
291	5.63672	0.0527408
292	5.63684	0.05256
293	5.63403	0.0524561
294	5.63723	0.0523754
