Blocchi	Price	Error
1	5.05044	0
2	5.16075	0.110306
3	5.04852	0.12904
4	4.98527	0.111021
5	5.32337	0.348865
6	5.43076	0.304419
7	5.35763	0.267474
8	5.50444	0.274245
9	5.78255	0.368566
10	5.75011	0.331247
11	5.69176	0.305253
12	5.74128	0.283022
13	5.73415	0.26044
14	5.63127	0.262149
15	5.55938	0.254417
16	5.58461	0.239319
17	5.50515	0.238432
18	5.47909	0.2263
19	5.53072	0.220197
20	5.56898	0.212371
21	5.63217	0.211658
22	5.67399	0.206097
23	5.57505	0.22039
24	5.56953	0.211079
25	5.54393	0.204073
26	5.55762	0.196544
27	5.5293	0.191233
28	5.47414	0.192354
29	5.44904	0.187292
30	5.44505	0.180985
31	5.38432	0.185283
32	5.35143	0.18239
33	5.37033	0.177784
34	5.3988	0.17481
35	5.38598	0.170225
36	5.37399	0.165863
37	5.33879	0.165114
38	5.33437	0.160771
39	5.35972	0.158633
40	5.41034	0.162693
41	5.40251	0.158868
42	5.4225	0.156323
43	5.45421	0.155903
44	5.44702	0.152488
45	5.44359	0.149101
46	5.41939	0.147818
47	5.424	0.144713
48	5.43825	0.14238
49	5.42174	0.140419
50	5.40819	0.138247
51	5.38056	0.138297
52	5.38394	0.135653
53	5.37064	0.133733
54	5.38122	0.131659
55	5.3832	0.129258
56	5.36845	0.127783
57	5.34208	0.128261
58	5.33601	0.126176
59	5.37225	0.129205
60	5.36813	0.1271
61	5.39326	0.127502
62	5.40416	0.125901
63	5.38795	0.124944
64	5.35719	0.126764
65	5.35417	0.124835
66	5.35848	0.123005
67	5.35672	0.121168
68	5.34687	0.119778
69	5.35712	0.118473
70	5.367	0.117185
71	5.37996	0.116248
72	5.38993	0.115054
73	5.39613	0.113637
74	5.37985	0.113266
75	5.39407	0.112647
76	5.39703	0.111195
77	5.39216	0.109849
78	5.39295	0.108435
79	5.39086	0.107074
80	5.42149	0.110073
81	5.41621	0.108833
82	5.41595	0.107498
83	5.40548	0.106709
84	5.41286	0.105689
85	5.41789	0.10456
86	5.42365	0.103497
87	5.41775	0.10247
88	5.42207	0.101391
89	5.41405	0.100566
90	5.39786	0.100751
91	5.38365	0.100647
92	5.38496	0.0995555
93	5.39703	0.0992152
94	5.39434	0.0981908
95	5.4113	0.0986208
96	5.4077	0.0976544
97	5.39951	0.096989
98	5.41256	0.096878
99	5.4206	0.096231
100	5.42617	0.0954264
101	5.42617	0.0944769
102	5.44146	0.0947871
103	5.43904	0.0938936
104	5.43828	0.0929895
105	5.42397	0.0932051
106	5.4249	0.0923264
107	5.42174	0.0915142
108	5.42097	0.0906661
109	5.4136	0.0901322
110	5.41856	0.0894463
111	5.42451	0.0888364
112	5.43055	0.0882471
113	5.41646	0.088591
114	5.41791	0.0878223
115	5.41884	0.0870603
116	5.40691	0.0871264
117	5.39701	0.0869445
118	5.39219	0.0863388
119	5.38878	0.0856782
120	5.38551	0.0850241
121	5.39613	0.0849845
122	5.40063	0.0844048
123	5.38708	0.0848056
124	5.3834	0.0841992
125	5.37834	0.0836761
126	5.39396	0.0844668
127	5.39193	0.0838238
128	5.38879	0.0832256
129	5.39159	0.0826256
130	5.38302	0.0824344
131	5.39427	0.0825732
132	5.39036	0.0820386
133	5.39167	0.08143
134	5.39056	0.0808278
135	5.39404	0.0803024
136	5.3823	0.0805697
137	5.38028	0.080005
138	5.37739	0.0794755
139	5.37133	0.0791341
140	5.3709	0.078568
