Blocchi	Price	Error
1	14.6365	0
2	15.2441	0.60759
3	15.1373	0.366679
4	14.9296	0.332234
5	14.519	0.484535
6	14.8554	0.519321
7	15.3559	0.665656
8	15.2003	0.597096
9	15.5819	0.650301
10	15.3957	0.610726
11	15.6853	0.623737
12	15.2635	0.708604
13	15.2286	0.652755
14	14.9005	0.687666
15	14.9893	0.646317
16	15.1782	0.633383
17	15.2079	0.595705
18	15.0441	0.585049
19	15.113	0.55767
20	15.0248	0.53634
21	14.9483	0.515871
22	14.9781	0.492767
23	14.938	0.472558
24	14.8293	0.465326
25	14.9666	0.466977
26	15.0205	0.451875
27	15.1329	0.449123
28	15.0085	0.450325
29	14.9455	0.439062
30	14.9941	0.426958
31	14.9241	0.418856
32	14.9218	0.405562
33	14.9411	0.393555
34	14.9708	0.382954
35	14.9499	0.372437
36	14.9453	0.361973
37	15.0059	0.357229
38	15.0041	0.347706
39	15.0139	0.338816
40	14.9985	0.330595
41	14.9689	0.323789
42	14.9697	0.315986
43	14.9091	0.314446
44	14.9289	0.307853
45	14.8596	0.308791
46	14.9194	0.307863
47	14.8578	0.307473
48	14.86	0.301007
49	14.8089	0.29919
50	14.8642	0.298307
51	14.9109	0.296103
52	14.9235	0.290628
53	14.9273	0.285117
54	14.9469	0.280469
55	14.9149	0.27717
56	14.8963	0.272811
57	14.8786	0.268568
58	14.8528	0.26515
59	14.8447	0.260744
60	14.862	0.256946
61	14.9103	0.257275
62	14.9122	0.253098
63	14.9297	0.24966
64	14.9196	0.245933
65	14.9076	0.242419
66	14.9126	0.238772
67	14.9328	0.236045
68	14.9709	0.235648
69	14.9385	0.234463
70	14.9187	0.231933
71	14.9572	0.231859
72	14.9524	0.228667
73	14.9329	0.226348
74	14.9813	0.228443
75	15.0233	0.22926
76	15.0328	0.226424
77	15.0128	0.224358
78	14.9978	0.221976
79	15.0121	0.219619
80	15.0062	0.216937
81	14.9591	0.219357
82	14.9232	0.219627
83	14.9144	0.217143
84	14.8968	0.215263
85	14.8482	0.218196
86	14.8614	0.21605
87	14.8471	0.214036
88	14.8389	0.211748
89	14.8414	0.209371
90	14.8627	0.208118
91	14.8621	0.205819
92	14.9086	0.208823
93	14.8938	0.207099
94	14.9007	0.205001
95	14.8903	0.2031
96	14.8898	0.200973
97	14.9272	0.202374
98	14.9224	0.200356
99	14.8798	0.202852
100	14.902	0.202042
101	14.8918	0.200294
102	14.8617	0.200596
103	14.8492	0.199031
104	14.8512	0.197118
105	14.8502	0.195234
106	14.8385	0.193735
107	14.8777	0.195881
108	14.8716	0.194155
109	14.9027	0.194868
110	14.9203	0.193883
111	14.9033	0.192882
112	14.9303	0.193056
113	14.9331	0.191361
114	14.9188	0.190221
115	14.9076	0.188888
116	14.9119	0.187301
117	14.8887	0.187131
118	14.8885	0.185538
119	14.8868	0.18398
120	14.8997	0.182892
121	14.9015	0.181383
122	14.9041	0.179909
123	14.9128	0.178655
124	14.9053	0.17737
125	14.9205	0.176604
126	14.9106	0.175476
127	14.9044	0.174198
128	14.9113	0.172968
129	14.9019	0.171878
130	14.8743	0.172765
131	14.8998	0.173319
132	14.9087	0.172229
133	14.8879	0.172181
134	14.8842	0.170932
135	14.9101	0.171624
136	14.9175	0.170519
137	14.9283	0.169612
138	14.9303	0.168392
139	14.9167	0.167728
140	14.9289	0.166969
141	14.9262	0.165803
142	14.9255	0.164633
143	14.9445	0.164586
144	14.9314	0.163969
145	14.925	0.162961
146	14.9277	0.161865
147	14.9175	0.161086
148	14.918	0.159994
149	14.9271	0.159179
150	14.9317	0.158179
151	14.9276	0.157181
152	14.932	0.156207
153	14.9294	0.155205
154	14.9167	0.154718
155	14.918	0.153722
156	14.9075	0.153093
157	14.9267	0.153326
158	14.918	0.152604
159	14.9328	0.152369
160	14.9098	0.153154
161	14.9199	0.152534
162	14.9116	0.151815
163	14.9191	0.151063
164	14.9031	0.150982
165	14.9159	0.150606
166	14.9282	0.150205
167	14.9225	0.149411
168	14.9098	0.149061
169	14.9057	0.148235
170	14.9245	0.148557
171	14.9374	0.148253
172	14.9393	0.147401
173	14.9325	0.146707
174	14.9417	0.146153
175	14.9287	0.145896
176	14.9331	0.145131
177	14.9345	0.144316
178	14.9238	0.143899
179	14.9219	0.143106
180	14.9361	0.143015
181	14.9326	0.142266
182	14.9375	0.141568
183	14.9292	0.14104
184	14.9201	0.140564
185	14.9197	0.139803
186	14.9081	0.13953
187	14.8985	0.139116
188	14.8957	0.138402
189	14.8953	0.137668
190	14.9195	0.139065
191	14.9147	0.138416
192	14.9246	0.138045
193	14.9284	0.13738
194	14.9188	0.137003
195	14.9334	0.137076
196	14.9545	0.137988
197	14.9379	0.138281
198	14.9326	0.137682
199	14.9284	0.137053
200	14.9449	0.137365
201	14.9535	0.136949
202	14.9533	0.13627
203	14.9665	0.136242
204	14.95	0.136568
205	14.9613	0.136365
206	14.9693	0.135937
207	14.9707	0.135286
208	14.9538	0.135687
209	14.943	0.135465
210	14.9306	0.135388
211	14.9183	0.135312
212	14.9204	0.13469
213	14.909	0.134543
214	14.9133	0.133985
215	14.9247	0.133839
216	14.9188	0.133346
