BLOCK	ACTUAL_V	V_AVE	ERROR
160	-0.443171	-0.442197	0.00210911
161	-0.500457	-0.442559	0.00212683
162	-0.44914	-0.4426	0.00211409
163	-0.39277	-0.442294	0.00212311
164	-0.447225	-0.442324	0.00211037
165	-0.483782	-0.442575	0.00211249
166	-0.431598	-0.442509	0.0021008
167	-0.40484	-0.442284	0.00210029
168	-0.452713	-0.442346	0.00208871
169	-0.477341	-0.442553	0.00208659
170	-0.47615	-0.44275	0.00208365
171	-0.448677	-0.442785	0.00207175
172	-0.46258	-0.4429	0.0020629
173	-0.457989	-0.442987	0.00205282
174	-0.432534	-0.442927	0.0020419
175	-0.379622	-0.442566	0.00206203
176	-0.433052	-0.442512	0.00205102
177	-0.416686	-0.442366	0.00204462
178	-0.419627	-0.442238	0.00203712
179	-0.47792	-0.442437	0.00203547
180	-0.429822	-0.442367	0.00202537
181	-0.467669	-0.442507	0.00201899
182	-0.423064	-0.4424	0.00201072
183	-0.395685	-0.442145	0.00201588
184	-0.489424	-0.442402	0.00202123
185	-0.445312	-0.442418	0.00201037
186	-0.428322	-0.442342	0.00200098
187	-0.380281	-0.44201	0.00201762
188	-0.468758	-0.442152	0.0020119
189	-0.481058	-0.442358	0.00201175
190	-0.451464	-0.442406	0.00200174
191	-0.491024	-0.44266	0.00200738
192	-0.452853	-0.442714	0.00199762
193	-0.462106	-0.442814	0.0019898
194	-0.343322	-0.442301	0.00204456
195	-0.458669	-0.442385	0.0020358
196	-0.451756	-0.442433	0.00202597
197	-0.465537	-0.44255	0.00201908
198	-0.470307	-0.44269	0.00201375
199	-0.408615	-0.442519	0.00201089
200	-0.470525	-0.442659	0.00200571
201	-0.464367	-0.442767	0.00199864
202	-0.43062	-0.442707	0.00198965
203	-0.418194	-0.442586	0.00198351
204	-0.460254	-0.442673	0.00197567
205	-0.450917	-0.442713	0.00196644
206	-0.427377	-0.442639	0.00195831
207	-0.480769	-0.442823	0.00195749
208	-0.452979	-0.442872	0.00194869
209	-0.466444	-0.442985	0.00194263
210	-0.432839	-0.442936	0.00193398
211	-0.420221	-0.442829	0.0019278
212	-0.447952	-0.442853	0.00191886
213	-0.405875	-0.442679	0.00191769
214	-0.436452	-0.44265	0.00190895
215	-0.46878	-0.442772	0.00190394
216	-0.426864	-0.442698	0.00189655
217	-0.436579	-0.44267	0.00188801
218	-0.447071	-0.44269	0.00187946
219	-0.430818	-0.442636	0.00187166
220	-0.429346	-0.442575	0.00186413
221	-0.476015	-0.442727	0.00186182
222	-0.488948	-0.442935	0.00186504
223	-0.464656	-0.443032	0.00185922
224	-0.423835	-0.442947	0.0018529
225	-0.440844	-0.442937	0.00184468
226	-0.455063	-0.442991	0.0018373
227	-0.456102	-0.443049	0.00183012
228	-0.442644	-0.443047	0.00182209
229	-0.457717	-0.443111	0.00181526
230	-0.474661	-0.443248	0.00181254
231	-0.388499	-0.443011	0.00182013
232	-0.422814	-0.442924	0.00181436
233	-0.441463	-0.442918	0.00180658
234	-0.460155	-0.442991	0.00180037
235	-0.45653	-0.443049	0.00179363
236	-0.441847	-0.443044	0.00178603
237	-0.240993	-0.442191	0.0019715
238	-0.45852	-0.44226	0.00196441
239	-0.454695	-0.442312	0.00195688
240	-0.409419	-0.442175	0.00195352
241	-0.431658	-0.442131	0.0019459
242	-0.480657	-0.44229	0.00194436
243	-0.496337	-0.442513	0.00194904
244	-0.440937	-0.442506	0.00194106
245	-0.447654	-0.442527	0.00193325
246	-0.419591	-0.442434	0.00192764
247	-0.436556	-0.44241	0.00191998
248	-0.468162	-0.442514	0.00191504
249	-0.430752	-0.442467	0.00190794
250	-0.44341	-0.442471	0.00190031
251	-0.469928	-0.44258	0.00189588
252	-0.40274	-0.442422	0.00189494
253	-0.448188	-0.442445	0.00188759
254	-0.4512	-0.442479	0.00188047
255	-0.452456	-0.442518	0.0018735
256	-0.410548	-0.442394	0.00187034
257	-0.425041	-0.442326	0.00186428
258	-0.409736	-0.4422	0.00186133
