#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.71725	1.71725	0
2	1.62437	1.67081	0.0328395
3	1.62193	1.65452	0.0256185
4	1.61582	1.64484	0.0209606
5	1.63533	1.64294	0.0168546
6	1.6369	1.64193	0.0140755
7	1.66557	1.64531	0.0124631
8	1.65019	1.64592	0.0109201
9	1.60509	1.64138	0.0106073
10	1.62985	1.64023	0.00960906
11	1.62464	1.63881	0.00883942
12	1.63547	1.63854	0.00810718
13	1.64948	1.63938	0.00752712
14	1.63391	1.63899	0.00699961
15	1.68193	1.64185	0.00709434
16	1.63838	1.64163	0.00665425
17	1.64714	1.64196	0.00627071
18	1.61785	1.64062	0.00606371
19	1.6319	1.64016	0.00576189
20	1.61757	1.63903	0.00558338
