#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.1254	1.1254	0
2	1.0645	1.09495	0.0215344
3	1.06044	1.08345	0.0171555
4	1.07787	1.08205	0.0129232
5	1.06373	1.07839	0.0108455
6	1.05013	1.07368	0.0100083
7	1.08112	1.07474	0.00863476
8	1.07128	1.07431	0.00756628
9	1.07503	1.07439	0.006726
10	1.05827	1.07278	0.00624349
11	1.04976	1.07068	0.00601646
12	1.05632	1.06949	0.00563295
13	1.06779	1.06936	0.00520115
14	1.04896	1.0679	0.00502951
15	1.04589	1.06643	0.00490368
16	1.06206	1.06616	0.00460481
17	1.06827	1.06628	0.00433562
18	1.07745	1.0669	0.00413892
19	1.05796	1.06643	0.00394775
20	1.0777	1.067	0.00379033
