#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.61331	1.61331	0
2	1.5298	1.57155	0.029523
3	1.50093	1.54801	0.0275107
4	1.48214	1.53154	0.0250825
5	1.51777	1.52879	0.0202168
6	1.5286	1.52876	0.0168474
7	1.51169	1.52632	0.0146159
8	1.53731	1.52769	0.0128533
9	1.50985	1.52571	0.011577
10	1.53195	1.52633	0.0104361
11	1.52583	1.52629	0.00948747
12	1.54566	1.5279	0.00883315
13	1.56529	1.53078	0.00860907
14	1.53513	1.53109	0.00799975
15	1.5262	1.53076	0.00747307
16	1.50574	1.5292	0.00716774
17	1.54145	1.52992	0.00678224
18	1.53696	1.53031	0.00641673
19	1.53521	1.53057	0.00608418
20	1.51334	1.52971	0.00584064
