#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.07554	1.07554	0
2	1.01987	1.0477	0.019682
3	1.00062	1.03201	0.0183405
4	0.988092	1.02103	0.0167217
5	1.01184	1.01919	0.0134779
6	1.01907	1.01917	0.0112316
7	1.0078	1.01755	0.00974393
8	1.02487	1.01846	0.00856887
9	1.00657	1.01714	0.007718
10	1.0213	1.01756	0.0069574
11	1.01722	1.01753	0.00632498
12	1.03044	1.0186	0.00588877
13	1.04353	1.02052	0.00573938
14	1.02342	1.02073	0.00533317
15	1.01747	1.02051	0.00498204
16	1.00383	1.01947	0.00477849
17	1.02764	1.01995	0.00452149
18	1.02464	1.02021	0.00427782
19	1.02347	1.02038	0.00405612
20	1.00889	1.01981	0.00389376
