#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.14484	1.14484	0
2	1.08291	1.11387	0.021893
3	1.08129	1.10301	0.017079
4	1.07722	1.09656	0.0139738
5	1.09022	1.09529	0.0112364
6	1.09127	1.09462	0.00938369
7	1.11038	1.09687	0.0083087
8	1.10013	1.09728	0.00728007
9	1.07006	1.09426	0.00707154
10	1.08657	1.09349	0.00640604
11	1.08309	1.09254	0.00589294
12	1.09032	1.09236	0.00540478
13	1.09965	1.09292	0.00501808
14	1.08927	1.09266	0.0046664
15	1.12129	1.09457	0.00472956
16	1.09226	1.09442	0.00443616
17	1.0981	1.09464	0.00418048
18	1.07856	1.09375	0.00404247
19	1.08794	1.09344	0.00384126
20	1.07838	1.09269	0.00372226
