#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.68811	1.68811	0
2	1.59674	1.64243	0.0323016
3	1.59066	1.62517	0.0257333
4	1.61681	1.62308	0.0193847
5	1.5956	1.61758	0.0162683
6	1.5752	1.61052	0.0150124
7	1.62168	1.61211	0.0129521
8	1.60691	1.61146	0.0113494
9	1.61254	1.61158	0.010089
10	1.58741	1.60917	0.00936524
11	1.57463	1.60603	0.00902469
12	1.58448	1.60423	0.00844943
13	1.60169	1.60404	0.00780173
14	1.57344	1.60185	0.00754427
15	1.56883	1.59965	0.00735552
16	1.59309	1.59924	0.00690722
17	1.60241	1.59943	0.00650343
18	1.61618	1.60036	0.00620839
19	1.58694	1.59965	0.00592162
20	1.61655	1.6005	0.00568549
