#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.940895	0.940895	0
2	0.885466	0.913181	0.0195973
3	0.87858	0.901647	0.016105
4	0.892859	0.89945	0.0122277
5	0.88073	0.895706	0.0103394
6	0.902318	0.896808	0.00867474
7	0.868063	0.892702	0.00835105
8	0.895995	0.893113	0.00731731
9	0.872848	0.890862	0.00684196
10	0.854228	0.887198	0.00707083
11	0.878992	0.886452	0.00646727
12	0.876299	0.885606	0.00598342
13	0.887082	0.88572	0.00552423
14	0.889176	0.885967	0.00513516
15	0.893212	0.88645	0.00481548
16	0.878871	0.885976	0.00453775
17	0.876873	0.88544	0.0043023
18	0.901346	0.886324	0.00415304
19	0.862309	0.88506	0.00412231
20	0.88965	0.88529	0.00392258
