#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.09263	1.09263	0
2	1.04154	1.06709	0.018063
3	1.0426	1.05892	0.013764
4	1.0459	1.05567	0.0107009
5	1.04789	1.05411	0.00867316
6	1.02767	1.04971	0.00827153
7	1.03243	1.04724	0.00744913
34	1.23939	1.21614	0.00431457
8	1.01141	1.04276	0.00774806
9	1.02064	1.0403	0.0072666
35	1.21774	1.21619	0.00419154
10	1.07338	1.04361	0.00725391
36	1.18469	1.21531	0.00416544
11	1.03805	1.0431	0.00661202
12	1.03361	1.04231	0.00610819
37	1.19563	1.21478	0.00408667
13	1.03753	1.04195	0.00564939
14	1.02075	1.04043	0.0054449
38	1.21936	1.2149	0.0039809
15	1.03552	1.0401	0.00509175
39	1.18753	1.2142	0.0039402
16	1.03137	1.03956	0.00480271
17	1.02835	1.0389	0.00456524
40	1.19206	1.21365	0.00388039
18	1.00928	1.03725	0.00459869
19	1.03077	1.03691	0.00436929
41	1.22195	1.21385	0.00379102
20	1.03476	1.0368	0.00415215
