#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.41134	1.41134	0
2	1.3282	1.36977	0.0293959
3	1.31787	1.35247	0.0241574
4	1.33929	1.34918	0.0183415
5	1.3211	1.34356	0.0155092
6	1.35348	1.34521	0.0130121
7	1.30209	1.33905	0.0125266
8	1.34399	1.33967	0.010976
9	1.30927	1.33629	0.0102629
10	1.28134	1.3308	0.0106063
11	1.31849	1.32968	0.0097009
12	1.31445	1.32841	0.00897513
13	1.33062	1.32858	0.00828635
14	1.33376	1.32895	0.00770274
15	1.33982	1.32967	0.00722322
16	1.31831	1.32896	0.00680662
17	1.31531	1.32816	0.00645345
18	1.35202	1.32949	0.00622955
19	1.29346	1.32759	0.00618347
20	1.33448	1.32793	0.00588387
