#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.14711	-5.14711	0
2	-5.05341	-5.10026	0.033128
3	-5.04794	-5.08282	0.0262776
4	-5.07404	-5.08062	0.0197996
5	-5.05114	-5.07472	0.0166947
6	-5.03047	-5.06735	0.0154557
7	-5.0804	-5.06921	0.0133598
8	-5.06391	-5.06855	0.0117062
9	-5.07109	-5.06883	0.0104089
10	-5.04501	-5.06645	0.00963691
11	-5.03271	-5.06338	0.00923605
12	-5.04276	-5.06166	0.0086248
13	-5.06016	-5.06155	0.00796213
14	-5.03092	-5.05936	0.00768813
15	-5.02866	-5.05731	0.00744303
16	-5.05226	-5.057	0.00698453
17	-5.06061	-5.05721	0.00657691
18	-5.07584	-5.05825	0.00629245
19	-5.04512	-5.05756	0.00599907
20	-5.07561	-5.05846	0.00576666
