#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.15362	1.15362	0
2	1.09848	1.12605	0.019498
3	1.07447	1.10886	0.0191324
4	1.11604	1.11065	0.0144333
5	1.07102	1.10272	0.0135497
68	1.19729	1.21429	0.00277879
6	1.09762	1.10187	0.0113181
7	1.11014	1.10305	0.00976257
69	1.21288	1.21427	0.00273859
8	1.09598	1.10217	0.00858223
9	1.11034	1.10308	0.00767656
70	1.22422	1.21442	0.00270316
10	1.07643	1.10041	0.00735682
71	1.21454	1.21442	0.00266508
11	1.1119	1.10146	0.00676171
12	1.08652	1.10021	0.00631175
72	1.21902	1.21448	0.00262884
13	1.1084	1.10084	0.00585758
14	1.08322	1.09958	0.00557275
73	1.20441	1.21434	0.00259644
15	1.07152	1.09771	0.00550645
16	1.14289	1.10054	0.00584154
74	1.2005	1.21416	0.00256809
17	1.09591	1.10027	0.00550425
75	1.22626	1.21432	0.00253891
18	1.0938	1.09991	0.00521016
19	1.10596	1.10022	0.00494567
76	1.24062	1.21466	0.00252897
20	1.07584	1.09901	0.00484638
77	1.21119	1.21462	0.00249653
78	1.22775	1.21479	0.0024702
79	1.24521	1.21517	0.00246876
80	1.26777	1.21583	0.00252391
