#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	0.929234	0.929234	0
2	0.929698	0.929466	0.000163888
3	0.920381	0.926437	0.00247509
4	0.872053	0.912841	0.01192
5	0.856222	0.901518	0.0139111
6	0.83102	0.889768	0.0157934
7	0.845578	0.883455	0.014745
8	0.824724	0.876114	0.0146157
9	0.832451	0.871262	0.0137734
10	0.82807	0.866943	0.0130557
11	0.82669	0.863284	0.012371
12	0.834235	0.860863	0.0115745
13	0.833894	0.858788	0.0108685
14	0.837869	0.857294	0.0101944
15	0.83955	0.856111	0.00958314
16	0.832168	0.854615	0.00910028
17	0.849281	0.854301	0.00857038
18	0.828369	0.85286	0.00821444
19	0.843231	0.852354	0.00779772
20	0.844143	0.851943	0.00741863
