#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.619489	0.619489	0
2	0.619798	0.619644	0.000109258
3	0.613587	0.617625	0.00165006
4	0.581369	0.608561	0.00794666
5	0.570815	0.601012	0.00927406
6	0.554013	0.593179	0.0105289
7	0.563719	0.58897	0.00983
8	0.549816	0.584076	0.00974378
9	0.554967	0.580841	0.00918225
10	0.552047	0.577962	0.00870381
11	0.551127	0.575522	0.00824736
12	0.556157	0.573909	0.00771635
13	0.555929	0.572526	0.00724567
14	0.558579	0.571529	0.00679625
15	0.5597	0.570741	0.00638876
16	0.554779	0.569743	0.00606686
17	0.566188	0.569534	0.00571359
18	0.552246	0.568574	0.00547629
19	0.562154	0.568236	0.00519848
20	0.562762	0.567962	0.00494575
